replica,N,T_K,E_Vpm,Tstar,Estar,rho_star,L_star,alpha_ewald,mean_Estar,sd_Estar_time,mean_mz,acceptance
3,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4918.066412570956,65.87910027502255,0.8796646293135505,0.65074
4,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4896.991714692258,75.37012353783214,0.8707160379685347,0.653446
5,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4936.543618194596,110.52223913906552,0.8834037128273534,0.653716
6,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4890.365553010394,84.94167696470451,0.8760987522977128,0.652664
7,100,253.0,1000000000.0,3.2354004013777122,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4909.961604247834,77.09360185641503,0.879893573311737,0.653334
0,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-786.3556783022116,27.661313311351137,-0.5851103218896273,0.67772
1,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-785.6543946825923,30.214367713947166,-0.16476584160207644,0.67789
2,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-776.9359005472736,30.40322327588007,0.33380993168315165,0.68191
3,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-765.3846495991464,24.576687656815636,0.22657108520229577,0.68583
4,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-797.5803655971803,28.410974752148626,0.5365095716466162,0.67511
5,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-793.194801170202,26.891774228727026,-0.11606250601178342,0.67805
6,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-824.8588806823811,36.74614752609392,0.2286881289441233,0.68099
7,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-789.6111921791347,35.260614803647464,-0.14871502535593026,0.67899996
0,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-932.3852890584202,31.370182207499763,0.820594466607219,0.68122
1,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-943.9222220824724,26.20743233470129,0.8542335026114726,0.67116
2,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-947.2222824391152,32.19024073675152,0.8417234789859352,0.67188
