replica,N,T_K,E_Vpm_0,Tstar_0,Estar_0,rho_star_0,L_star_0,alpha_ewald_0,mean_Estar_0,sd_Estar_time_0,mean_mz_0,acceptance_0,E_Vpm_E,Tstar_E,Estar_E,rho_star_E,L_star_E,alpha_ewald_E,mean_Estar_E,sd_Estar_time_E,mean_mz_E,acceptance_E,delta_E,pct_change,lower_energy
7,50,253.0,0.0,3.235400401377712,0.0,0.8,3.9685026299204975,2.015873679831797,-2024.1993426183788,40.37069456938798,0.277711785039581,0.658116,1000000000.0,3.235400401377712,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2441.5995947094416,50.52308386635888,0.8778744246857125,0.645304,-417.40025209106284,20.620511196843875,True
0,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-3965.471196663105,59.77679722990802,0.0738772146555662,0.662824,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4875.413111893146,83.99825396862504,0.861208128925013,0.652736,-909.9419152300416,22.94662778021806,True
1,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4011.363115428217,63.86235539789941,0.1374472721097452,0.657122,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4955.6041051705815,67.66178384217024,0.8864954145241677,0.650708,-944.2409897423645,23.5391552091281,True
2,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4015.7762974181455,55.24613181477821,-0.154320348792903,0.66274,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4840.59090593543,76.36840843136903,0.8657218337951037,0.65409,-824.8146085172843,20.539356463844378,True
3,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4026.199167012896,64.79418932610594,-0.1122782310049864,0.659956,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4918.066412570956,65.87910027502255,0.8796646293135505,0.65074,-891.8672455580604,22.151592818984945,True
4,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4001.285245111438,63.93342300257814,-0.1409137827045237,0.664208,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4896.991714692258,75.37012353783214,0.8707160379685347,0.653446,-895.7064695808199,22.3854690358591,True
5,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4065.6657030302094,53.21689456882849,0.2832541728031357,0.656608,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4936.543618194596,110.52223913906552,0.8834037128273534,0.653716,-870.8779151643866,21.42030306415273,True
6,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4011.09075555773,74.46566396484005,0.121835873352264,0.663092,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4890.365553010394,84.94167696470451,0.8760987522977128,0.652664,-879.2747974526642,21.921089574808278,True
7,100,253.0,0.0,3.235400401377712,0.0,0.8,4.999999999999999,1.6000000000000003,-4032.251869313544,51.88102440257954,0.052374848205512,0.657936,1000000000.0,3.235400401377712,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4909.961604247834,77.09360185641503,0.879893573311737,0.653334,-877.7097349342898,21.767234869772963,True
0,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-786.3556783022116,27.661313311351137,-0.5851103218896273,0.67772,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-932.3852890584202,31.370182207499763,0.820594466607219,0.68122,-146.02961075620863,18.570427452306976,True
1,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-785.6543946825923,30.21436771394717,-0.1647658416020764,0.67789,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-943.9222220824724,26.20743233470129,0.8542335026114726,0.67116,-158.26782739988016,20.14471356248456,True
2,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-776.9359005472736,30.40322327588007,0.3338099316831516,0.68191,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-947.2222824391152,32.19024073675152,0.8417234789859352,0.67188,-170.28638189184164,21.91768738861107,True
3,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-765.3846495991464,24.57668765681564,0.2265710852022957,0.68583,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-925.9663787534508,27.24918698784372,0.7947673405813911,0.67284,-160.5817291543044,20.980526489315615,True
4,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-797.5803655971803,28.410974752148626,0.5365095716466162,0.67511,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-937.8115474156192,36.08837099027746,0.843289088457186,0.67823,-140.23118181843893,17.582075470657085,True
5,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-793.194801170202,26.891774228727023,-0.1160625060117834,0.67805,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-950.3068045389248,28.76754091030668,0.8661319970838329,0.67421997,-157.11200336872275,19.80749282987421,True
6,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-824.8588806823811,36.74614752609392,0.2286881289441233,0.68099,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-931.099176040894,32.78877980718189,0.7977240960664035,0.6728,-106.24029535851287,12.8798146988032,True
7,20,273.0,0.0,3.491163278956978,0.0,0.8,2.924017738212866,2.735961514682715,-789.6111921791347,35.260614803647464,-0.1487150253559302,0.67899996,1000000000.0,3.491163278956978,1.8084552985793736,0.8,2.924017738212866,2.735961514682715,-933.2643886160868,32.66386620409181,0.8343066689755455,0.67056,-143.65319643695204,18.19290276781718,True
